english,chinese,example,note,source
vivid / vividness,生动的 / 生动性,vivid dreams,,09-22 梦境/正式英语
vulnerable to,易受……伤害/影响,vulnerable to exploitation and control,高频搭配,09-20 反智/经济放缓
wander / wandering,游荡,spend the day wandering the street,,09-24 移民/完形复盘
wander the street,在街头游荡,wander 强调无目的地走,,09-23 移民/无家可归
waste / wasted,浪费；被浪费的,medical resources are wasted,wasteful adj.,Day5 铁路/医疗
weigh,权衡；衡量,weigh what they get,不仅是“称重”,09-21 公平/气候/嗅觉
well regarded,受到高度评价的,the most well regarded,≈ respected,09-22 梦境/正式英语
well-meaning,出于好意的；善意的,well-meaning people,常暗含“好心但未必做对”。,Day4 情报/动物实验
when / once / while / whereas,while 可表示“虽然/当……时”或对比；whereas 强对比；once=一旦；when=时间。,,,09-23 移民/无家可归；09-24 移民/完形复盘
when it comes to,说到；谈到,when it comes to the slowing economy,高频引入结构,09-20 反智/经济放缓
within one's control,在某人的控制范围内,within our control,反义：beyond one's control,09-22 梦境/正式英语
word puzzle,文字游戏；字谜,word puzzles,puzzle 也可作动词,Day6 求职/字母偏见
work through,逐步处理并化解,working through negative feelings,心理语境高频,09-22 梦境/正式英语
worth doing,值得做……,worth toasting,worth + V-ing，不接 to do,09-20 反智/经济放缓
